Brand,Design,Performance,Camera,Battery,Price
LG,9.2,8.6,8.7,7.5,8.3
OnePlus,8.3,8.3,7.3,8.6,8.4
Xiaomi,8.3,8.1,7.7,7.6,8.5
LG,7.3,7.3,8,7.8,7.4
Google,8.1,9.2,9.3,8.4,7.9
Xiaomi,8.3,8.1,9.5,8,8.5
Xiaomi,7.6,7.5,7.1,7.4,9.4
LG,7.7,7.9,8.9,7.4,8.8
Samsung,7.9,8,7.9,8,9.3
Google,7.1,9.1,8,8.9,8.9
LG,7.8,8.8,8.9,9.2,8.5
Google,7.5,8.9,9.3,7.2,7.5
Google,7.8,7,9.4,8,8.7
Xiaomi,7.3,8,8.4,7.3,8.6
OnePlus,9.2,8.2,7.9,7,8.5
Google,8.5,7,9,8.7,8.2
Sony,8.7,7.6,7.6,8.5,8.3
Xiaomi,9,8.9,8.4,7.4,7.8
Samsung,8.2,7.3,7.9,7.6,8.3
OnePlus,7.2,8.3,8.6,7.1,7.5
Sony,8.3,7.5,7.6,9.1,9
Sony,8.5,7,7.5,9.4,7.5
Samsung,8.9,7.6,9.3,7.3,7.2
OnePlus,8.1,9.4,7.3,7.6,8.1
Xiaomi,7.3,9,8.3,9.2,8.6
Apple,7.7,9.4,7.6,9.3,8.1
OnePlus,7.9,8.2,7.1,8,7.7
Samsung,8.6,7.3,7.1,7.1,8.4
Sony,8.4,8.4,7.4,7.1,7.9
Xiaomi,7.9,8.1,9.2,8.4,9.3
OnePlus,9.5,9.1,7.7,8,9.3
Apple,8.5,7.2,9.4,7.1,8.3
Apple,7.6,8.2,8.5,8.5,7.8
Google,7.3,7.4,8.1,7,8.8
Google,7.4,7.8,8.5,9,7.1
LG,7.6,8.8,8.3,7.8,8.2
Samsung,7.4,8.2,8.9,7.1,7.8
OnePlus,7.5,7.9,7.7,8.5,9.3
OnePlus,7.7,8,7.9,8,7
LG,7.4,8.1,9.2,9.4,8.4
Sony,9.2,9,9.4,8.4,8.9
Sony,7.2,9.2,9.2,7.7,8.2
