Text,Category
Exciting match! The home team won the game.,Sports
Ellipsis,Politics
Ellipsis,Technology
Ellipsis,Politics
Election results are out. New government formed.,Politics
Ellipsis,Technology
Debate on the new tax policy.,Politics
Exciting match! The home team won the game.,Sports
Ellipsis,Politics
Ellipsis,Sports
Debate on the new tax policy.,Politics
Debate on the new tax policy.,Politics
Debate on the new tax policy.,Politics
Ellipsis,Politics
Debate on the new tax policy.,Politics
Debate on the new tax policy.,Politics
Ellipsis,Politics
Ellipsis,Politics
Debate on the new tax policy.,Politics
New smartphone released with advanced features.,Technology
Debate on the new tax policy.,Politics
Debate on the new tax policy.,Politics
AI technology revolutionizing industries.,Technology
Exciting match! The home team won the game.,Sports
Election results are out. New government formed.,Politics
Ellipsis,Sports
Ellipsis,Sports
New smartphone released with advanced features.,Technology
Ellipsis,Sports
Election results are out. New government formed.,Politics
Ellipsis,Technology
Ellipsis,Politics
Ellipsis,Politics
Ellipsis,Technology
Athlete breaks the world record.,Sports
Ellipsis,Sports
AI technology revolutionizing industries.,Technology
Exciting match! The home team won the game.,Sports
Ellipsis,Technology
Election results are out. New government formed.,Politics
New smartphone released with advanced features.,Technology
Ellipsis,Technology
Debate on the new tax policy.,Politics
Ellipsis,Sports
Ellipsis,Politics
Debate on the new tax policy.,Politics
Exciting match! The home team won the game.,Sports
AI technology revolutionizing industries.,Technology
New smartphone released with advanced features.,Technology
Athlete breaks the world record.,Sports
Ellipsis,Politics
AI technology revolutionizing industries.,Technology
Ellipsis,Technology
Election results are out. New government formed.,Politics
Athlete breaks the world record.,Sports
AI technology revolutionizing industries.,Technology
Ellipsis,Politics
AI technology revolutionizing industries.,Technology
Athlete breaks the world record.,Sports
New smartphone released with advanced features.,Technology
Athlete breaks the world record.,Sports
Athlete breaks the world record.,Sports
New smartphone released with advanced features.,Technology
Ellipsis,Sports
AI technology revolutionizing industries.,Technology
Debate on the new tax policy.,Politics
Athlete breaks the world record.,Sports
Exciting match! The home team won the game.,Sports
Athlete breaks the world record.,Sports
Ellipsis,Politics
AI technology revolutionizing industries.,Technology
Ellipsis,Politics
Ellipsis,Sports
Ellipsis,Technology
Election results are out. New government formed.,Politics
Athlete breaks the world record.,Sports
Ellipsis,Sports
New smartphone released with advanced features.,Technology
Debate on the new tax policy.,Politics
New smartphone released with advanced features.,Technology
Ellipsis,Sports
Debate on the new tax policy.,Politics
New smartphone released with advanced features.,Technology
Ellipsis,Technology
Debate on the new tax policy.,Politics
New smartphone released with advanced features.,Technology
New smartphone released with advanced features.,Technology
AI technology revolutionizing industries.,Technology
Ellipsis,Politics
Ellipsis,Sports
Debate on the new tax policy.,Politics
AI technology revolutionizing industries.,Technology
Athlete breaks the world record.,Sports
