Review,Sentiment,Sentiment Score
I absolutely loved the place! The staff was friendly and attentive.,neutral,positive
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",neutral,neutral
The restaurant was disappointing. The food was cold and the service was slow.,positive,negative
"The restaurant is just okay. Nothing special, but not bad either.",positive,neutral
"The restaurant is just okay. Nothing special, but not bad either.",positive,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",negative,neutral
The restaurant was disappointing. The food was cold and the service was slow.,positive,negative
I absolutely loved the place! The staff was friendly and attentive.,negative,positive
"The food was delicious, and the service was excellent!",negative,neutral
The restaurant was disappointing. The food was cold and the service was slow.,positive,negative
"Terrible experience. The food was tasteless, and the staff was rude.",negative,negative
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",neutral,neutral
"Had an average experience. The ambiance was nice, but the food could have been better.",negative,neutral
"The food was delicious, and the service was excellent!",neutral,neutral
"The food was delicious, and the service was excellent!",positive,neutral
"The restaurant is just okay. Nothing special, but not bad either.",negative,neutral
"The restaurant is just okay. Nothing special, but not bad either.",positive,neutral
I absolutely loved the place! The staff was friendly and attentive.,positive,positive
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",positive,neutral
"Had an average experience. The ambiance was nice, but the food could have been better.",negative,neutral
"Terrible experience. The food was tasteless, and the staff was rude.",positive,negative
"The restaurant is just okay. Nothing special, but not bad either.",neutral,neutral
"Had an average experience. The ambiance was nice, but the food could have been better.",negative,neutral
"Terrible experience. The food was tasteless, and the staff was rude.",negative,negative
"The restaurant is just okay. Nothing special, but not bad either.",positive,neutral
"The food was delicious, and the service was excellent!",negative,neutral
The restaurant was disappointing. The food was cold and the service was slow.,negative,negative
"Had an average experience. The ambiance was nice, but the food could have been better.",neutral,neutral
"Had an average experience. The ambiance was nice, but the food could have been better.",negative,neutral
"Terrible experience. The food was tasteless, and the staff was rude.",negative,negative
The restaurant was disappointing. The food was cold and the service was slow.,negative,negative
"Had an average experience. The ambiance was nice, but the food could have been better.",positive,neutral
"Had an average experience. The ambiance was nice, but the food could have been better.",positive,neutral
"Terrible experience. The food was tasteless, and the staff was rude.",neutral,negative
"Had an average experience. The ambiance was nice, but the food could have been better.",positive,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",positive,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",neutral,neutral
The restaurant was disappointing. The food was cold and the service was slow.,negative,negative
"Terrible experience. The food was tasteless, and the staff was rude.",neutral,negative
"Had an average experience. The ambiance was nice, but the food could have been better.",positive,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",neutral,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",positive,neutral
"The restaurant is just okay. Nothing special, but not bad either.",neutral,neutral
"The food was delicious, and the service was excellent!",positive,neutral
"The food was delicious, and the service was excellent!",neutral,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",negative,neutral
I absolutely loved the place! The staff was friendly and attentive.,positive,positive
I absolutely loved the place! The staff was friendly and attentive.,negative,positive
"The restaurant is just okay. Nothing special, but not bad either.",negative,neutral
I absolutely loved the place! The staff was friendly and attentive.,neutral,positive
The restaurant was disappointing. The food was cold and the service was slow.,positive,negative
"The restaurant is just okay. Nothing special, but not bad either.",negative,neutral
"Terrible experience. The food was tasteless, and the staff was rude.",neutral,negative
"The restaurant is just okay. Nothing special, but not bad either.",neutral,neutral
I absolutely loved the place! The staff was friendly and attentive.,negative,positive
The restaurant was disappointing. The food was cold and the service was slow.,positive,negative
I absolutely loved the place! The staff was friendly and attentive.,positive,positive
"Had an average experience. The ambiance was nice, but the food could have been better.",neutral,neutral
I absolutely loved the place! The staff was friendly and attentive.,neutral,positive
I absolutely loved the place! The staff was friendly and attentive.,negative,positive
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",neutral,neutral
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",positive,neutral
"The restaurant is just okay. Nothing special, but not bad either.",positive,neutral
The restaurant was disappointing. The food was cold and the service was slow.,negative,negative
"Terrible experience. The food was tasteless, and the staff was rude.",neutral,negative
"Terrible experience. The food was tasteless, and the staff was rude.",positive,negative
"Highly recommended! The dishes were flavorful, and the presentation was top-notch.",negative,neutral
The restaurant was disappointing. The food was cold and the service was slow.,neutral,negative
"The food was delicious, and the service was excellent!",positive,neutral
I absolutely loved the place! The staff was friendly and attentive.,negative,positive
The restaurant was disappointing. The food was cold and the service was slow.,neutral,negative
"Terrible experience. The food was tasteless, and the staff was rude.",neutral,negative
The restaurant was disappointing. The food was cold and the service was slow.,negative,negative
The restaurant was disappointing. The food was cold and the service was slow.,neutral,negative
"Terrible experience. The food was tasteless, and the staff was rude.",positive,negative
"The food was delicious, and the service was excellent!",positive,neutral
The restaurant was disappointing. The food was cold and the service was slow.,neutral,negative
"Terrible experience. The food was tasteless, and the staff was rude.",negative,negative
"The food was delicious, and the service was excellent!",neutral,neutral
"The food was delicious, and the service was excellent!",neutral,neutral
I absolutely loved the place! The staff was friendly and attentive.,negative,positive
The restaurant was disappointing. The food was cold and the service was slow.,neutral,negative
I absolutely loved the place! The staff was friendly and attentive.,positive,positive
I absolutely loved the place! The staff was friendly and attentive.,positive,positive
